1|About|Learn more about the project and learn how you can get involved|about.html|glyphicon glyphicon-info-sign
2|Help|See tutorials for setting up and using the language|help.html|glyphicon glyphicon-list
3|FAQ|See the answers to the most frequently asked questions|faq.html|glyphicon glyphicon-question-sign
